sentiment,review_body,product_category
-1,Looks like a pregnancy top. a lot gathers in front and back. added 10 pounds to me. not flattering on  much longer than on the model. and the color is not white. it's white with a weird tan/ taupe stripe.  i returned it same day i received it  which was disappointing.,Blouses
-1,I just returned this top. i agree with the previous reviewer. the neckline is way too deep  i ordered small and i looked ridiculous in it. also the ruffles didn't look so great on me either.,Blouses
-1,"I have been looking for a nice  white tunic and i should have known when i saw this was one size fits all. maybe because i am petite (5'2"") but there was so much material hanging everywhere that it made me look even shorter and fat. who wants that? so sending it back.",Blouses
-1,Looks lovely in the picture but looks poorly made in person  runs very small. i returned it.,Blouses
-1,I love maeve and was so excited for this top which looked like an update from a last season favorite. unfortunately the fabric was stiff  it was tight in the chest and went straight down from there. returned.,Blouses
-1,The cut of this piece is great  the quality of the fabric is terrible. i used it under another layer the first day i wore it and it pilled across the bust. after hand washing in cold water and hanging to dry it shrank in length- so much that i can no longer even wear it. i always happily pay a premium for quality staple wardrobe pieces. this didn't hold up to one wearing  let alone one season. i recommend strongly against it.,Blouses
-1,I was really looking forward to receiving this blouse in the mail. the color was beautiful in person and the photo does not show the nice beading around the neck. that being said  i was so disappointed in the fit. i ordered a size 00 and the arm length was way too long yet the body of the shirt was way too cropped. cropped enough where you could see skin on the sides. made no sense! hoping to order a few more sizes to see if i can find the right fit. order up for length  down for arm length ...,Blouses
-1,Loved loved loved the shirt but...the material was so thin,Blouses
-1,I saw this very shirt online & thought it was so pretty. in person  the shirt seems flimsy. the buttons look as though they'd fall off. i also didn't like the cut of the shirt. it seemed to be tighter on top & looser on the bottom. had to return. i couldn't justify the cost with the quality.,Blouses
0,This top is cute. i purchased a 2 instead of my usual size 4 and it fits well. i only recommend buying this top on sale. it is not good quality! there are loose threads hanging out of the seams all over the place and it is see through. it is totally nuts that it costs $88.,Blouses
0,I love this shirt. tried in on in stores. i'm typically a medium across the board. i'm 5'6  137lbs  34d. i went for the size 6 figuring the 4 would be too small. the 6 fit... but it's short like everyone else said. not crop top short but definitely raise your arms and stomach is exposed short. i didn't buy it for the $50 price tag because of the shortness. but now that it's 30% i might spring for it  regardless of the weird cut. it's super cute otherwise!,Blouses
0,"My review of the pros : 1) quality made  not see through in any way  can wear with small bra straps 2) lace gives the top a 'different look""  really liked it. my review of the cons  which made me return the top 1) runs huge!!! i am 5'2""  36 small c  broad shoulders and my usual size medium looked like an xl. it was large in the bust area and almost 'puckered' at the armpits? i would probably order 2 sizes down to an xs  which i never wear in any size top. 2) for petite gals (i am 5'2"")  this a a",Blouses
0,Like a baby doll top  with almost an empire waist going on.  feels comfortable and super flowy. i got a size m and i swing between m and l in most brands. the button stitching are a bit loose and will fray after some wears  i can tell. but i'm borderline on taking it back still because there are hidden side pockets! crazy--like it was a fluke or something. would fit a piece of paper or tissues. not keys or phones though.,Blouses
0,This top is beautiful in color and fabric. unfortunately just didn't work in the breast line. gapped and there was just nothing i could do to make it hang correctly. i'm not really large in the chest area (38b) but the large just didn't work. had to send it back.,Blouses
0,Not keeping this one. the fabric is a bit tacky-looking in person  the cut is odd and it's just not me. fit is fine and there are snaps to keep the neckline flat and shaped  the colors are as shown and it is a good length (falls to top of hip). i simply did not like it. too metallic looking maybe...,Blouses
0,I got this top planning to wear it with the sleeves up rather than off the shoulder  like in one of the photos. my regular size (medium) was way too large so i went down to a small. however  the collar was still too wide for the sleeves to stay above my bra straps. back it goes. if you're looking for a strictly off-the-shoulder top  you might like it. color is deep blue and the cotton is a nice weight.,Blouses
0,I love this fabric  and the design details of this top. but i am only 5'3  and this top ends above my waist! shoulders and sleeves fit perfectly and the neck and back details are very flattering. i ended up keeping the shirt because i love the fabric so much  but i am trying to find a way to wear this shirt with how short it is. tucking in or wearing with high-waisted bottoms are all i can figure out  for someone without a perfectly flat tummy.,Blouses
0,"I'm 5'1"" and this top was too long for me. it's pretty but expensive for what it is.",Blouses
1,Love  love this tunic. my size 4 fits perfectly with a little room  material is very soft and very comfortable. could be worn with leggings or with a belt as a dress...so many options. so worth it!!!,Blouses
1,Great for the beachy business look. classy  but immensely comfortable. i feel like i look sharp without having to sit poker-straight.,Blouses
1,I'm so glad i bought this. the picture doesn't do it justice. it's lightweight  flowy and super comfy. i'll be wearing this all the time. very lightweight so it doesn't get hot. love the material  it's soft  light and flattering! color says light grey but it does have a bit of a blue/lavender hue to it as another reviewer said. i love cloth & stone and this is one of my favorites! well worth the money!,Blouses
1,The blouse is lightweight and is double layered  meaning a light layer over a lower layer. it's not bulky and not super flowy...just enough. i'm 5'1  a bit busty  and generally wear a m in retailer and this blouse fit great. it's figure flattering and not boxy. may be a tad short for taller women.,Blouses
1,Cute  simple top that completes an outfit all on it's own. it is pricey but i finally took the plunge and bought it.,Blouses
1,This is a great top to pair with jeans to step a casual night up a notch.,Blouses
1,I love this designer so i grabbed at this shirt immediately. unlike their other items  this shirt is linen. it's a great cut and very flattering once you iron it. the only problem i found was that as i wore it throughout the day  she shirt became wrinkled and misshapen to the point where it ballooned out around my stomach.,Blouses
1,Purchased in white. very pretty top. i thought it would be more lace - but non the less  it is lovely.,Blouses
1,I knew i wanted this top the moment i saw it  so onto my wishlist it went until it went on sale! it fits beautifully in my normal size and i love that it already has a coordinating tank top. i get compliments whenever i wear it- think hd in paris might be my new go-to!,Blouses
-1,It's pretty  floaty  feminine; the photos don't do justice to the prettiness. but the photos also don't show an asymmetrical hem. i understood it runs small so i got two sizes  to be safe  and even my larger size was strangely short-waisted  and i'm short-waisted to start with. maybe i could've lived with that  but both the dresses i received have an uneven hem unlike any i've ever worn or seen before. it's not longer on just the sides; the hem is longer in one spot on the front  and one in the,Dresses
-1,I wanted to like this dress  but it just did not work for a bustier frame. the fabric is quite loose  does not nip in at the waist and is not particularly clingy  so if you are well-endowed  your assets create a bit of a shelf from which the rest of the dress just hangs. as a result  the swing comes from the apex of your chest as opposed to from your hips (as on the model)  and the asymmetrical hemline makes the look even more awkward. on smaller curves  this would likely be very flattering  but,Dresses
-1,"It just didn't work for me. i don't know if it is my fair complexion and untanned legs  but this dress was a strike out. the orange floral design and beading is beautiful and the fitting i would say is pretty tts. for reference  i am 5'7"" and 145lbs with 36"" 30"" 40"" measurements and i purchased a medium. the chest and arms were not too tight like other reviews stated. the length is about the length in the picture and a lot of fabric to make it very flowy. overall  very good quality and beautiful",Dresses
-1,I own many retailer dresses but the sizing can be odd. i usually wear a size 4-6 and i have a floreat maxi dress size 4 that works well. i am 34c and based on the reviews i decided to order a size 6. the dress fits well except for he bust area that is very snug/couldn't even get the zipper up. i will probably have to order a size 10 to be able to close the zipper on the bust area but it will be huge everywhere else.the fabric seems very delicate and may develop runs easily. it's a shame because th,Dresses
-1,This dress was not what i had hoped! from the online pictures  i had high hopes  but the fit was really wonky and the material seemed cheap. the arm holes were too big and made the dress seem more like a bathing suit cover up than a classy summer dress. needless to say  it's going back!,Dresses
-1,"I was really excited about this dress. i had only seen it online and it looked like the perfect transitional piece  casual or dress up. when it arrived in the mail  the feel of the fabric was great and i slipped it on and it was so comfy i felt like i was wearing a nightdress. unfortunately it hung like that  too. the material sags in places it shouldn't. i have a 5'8"" 125 lb frame  and i ordered an extra small  and both my husband and sister said it was unflattering and urged me to send it back",Dresses
-1,This dress hangs like a sack. it really needs a belt to give it some shape. i tried to style it with one  but then didn't look right either. i did like the slip that came with it. i'll be returning it.,Dresses
-1,I rarely write a really negative review and retailer is my favorite store ever. but this dress is awful. i ordered the black and white. the fabric is very poor quality. the colors are washed out. i almost didn't try it on  but i did and found that  for me  the fit was terrible (though some of the reviewer pictures are cute).,Dresses
-1,On a hot summer 90 degree day the blue ink on the dress stained the dress and my new tory burch bag. i would never have expected that the blue print would bleed all over me and my new dress. great dress and such a wonderful fit...too bad its unwearable now.,Dresses
0,I ordered my usual size 8 but this run huge  i had to exchange for 6 or even size 4. the fabric is nice and airy. it seems to easily wrinkle though. just have to either iron everytime or dry clean i suppose. unique design.,Dresses
0,The xxs petite fit great except in bust and shoulder area. i'm a 32a and it was really tight.,Dresses
0,"Love the way this dress looks online. sadly  it doesn't look great on me. i'm 5'4""  athletic build. the small fit perfectly  but the extra fabric in the hip/pocket area just seemed to drag me down. i really wished this worked for me  but i think you've gotta be a little bit taller to pull this one off.",Dresses
